date,type,asset,ticker,price,quantity,amount,description
2025-08-05,buy,Apple Inc,AAPL,180,10,-1800,Initial buy AAPL
2025-09-10,buy,Apple Inc,AAPL,185,5,-925,Add to AAPL
2025-11-15,dividend,Apple Inc,AAPL,,,25.50,AAPL quarterly dividend
2026-02-12,sell,Apple Inc,AAPL,210,3,630,Partial sell AAPL
2026-02-15,dividend,Apple Inc,AAPL,,,18.20,AAPL quarterly dividend

2025-08-15,buy,NVIDIA Corp,NVDA,120,15,-1800,Initial buy NVDA
2025-10-20,buy,NVIDIA Corp,NVDA,135,5,-675,Add to NVDA
2026-01-18,sell,NVIDIA Corp,NVDA,150,4,600,Partial sell NVDA

2025-09-01,buy,Microsoft Corp,MSFT,330,8,-2640,Initial buy MSFT
2025-11-15,buy,Microsoft Corp,MSFT,350,2,-700,Add to MSFT
2025-12-01,dividend,Microsoft Corp,MSFT,,,56.00,MSFT quarterly dividend
2026-03-01,dividend,Microsoft Corp,MSFT,,,56.00,MSFT quarterly dividend

2025-09-25,buy,Amazon.com Inc,AMZN,140,12,-1680,Initial buy AMZN
2026-03-10,buy,Amazon.com Inc,AMZN,160,4,-640,Add to AMZN

2025-10-05,buy,Alphabet Inc,GOOGL,135,10,-1350,Initial buy GOOGL
2026-02-20,buy,Alphabet Inc,GOOGL,150,3,-450,Add to GOOGL

2025-10-18,buy,Meta Platforms Inc,META,300,6,-1800,Initial buy META
2026-01-25,buy,Meta Platforms Inc,META,330,2,-660,Add to META

2025-11-01,buy,Tesla Inc,TSLA,250,5,-1250,Initial buy TSLA
2026-02-05,sell,Tesla Inc,TSLA,280,2,560,Partial sell TSLA

2025-11-20,buy,SPDR S&P 500 ETF,SPY,460,4,-1840,Initial buy SPY
2025-12-15,dividend,SPDR S&P 500 ETF,SPY,,,24.80,SPY quarterly dividend
2026-03-01,buy,SPDR S&P 500 ETF,SPY,480,2,-960,Add to SPY
2026-03-15,dividend,SPDR S&P 500 ETF,SPY,,,28.40,SPY quarterly dividend

2025-12-01,buy,Invesco QQQ Trust,QQQ,390,3,-1170,Initial buy QQQ
2026-03-15,buy,Invesco QQQ Trust,QQQ,420,1,-420,Add to QQQ

2025-12-10,expense,,,,,-120,Groceries
2026-01-05,income,,,,,2500,Monthly allowance
2026-02-01,income,,,,,2600,Internship salary
